id,name,date,genre,description,backdrop,poster
608804,The Girl Who Killed Her Parents,2021-09-24,"Crime, Drama, Thriller","Based on one of the most shocking and gruesome murder cases in Brazil, the film presents Daniel Cravinhos's point of view of the events that led to the death of Marísia and Manfred von Richthofen, his girlfriend’s parents.",/6RSmdzLx5Y975kKREVfa1KdCYMS.jpg,/7gqZyGlLjNKXIk8RBswqAGJygVz.jpg
678580,El mesero,2021-07-15,Comedy,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,/sjp19s49gm58iKbq64AxJxg9JgN.jpg,/zvGC5jX5wQmU1GgPc0VGZz7Mtcs.jpg
846214,"The Simpsons: The Good, the Bart, and the Loki",2021-07-07,"Animation, Comedy, Family",Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,/zsH3iW60T1t2HBTtrSKzzxJ406J.jpg,/rtMdtzywcAGOrF6t8fbxJBqpdcq.jpg
841755,Mortal Kombat Legends: Battle of the Realms,2021-08-30,"Animation, Action, Fantasy","The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",/dssCw0mUmD4EriUmkwB3PnsGu4q.jpg,/ablrE8IbWcIrAxMmm4gnPn75AMS.jpg
539885,Ava,2020-07-02,"Action, Crime, Drama, Thriller",A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,/54yOImQgj8i85u9hxxnaIQBRUuo.jpg,/qzA87Wf4jo1h8JMk9GilyIYvwsA.jpg
632357,The Unholy,2021-03-31,Horror,"Alice, a young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",/jw6ASGRT2gi8EjCImpGtbiJ9NQ9.jpg,/bShgiEQoPnWdw4LBrYT5u18JF34.jpg
813258,Monster Pets: A Hotel Transylvania Short,2021-04-02,"Animation, Comedy, Fantasy",Drac tries out some new monster pets to help occupy Tinkles for playtime.,/c7dFSqZQYqNNJVpacpIGZe3gkLW.jpg,/tuzkEyCPwf5O56fDjGNerIA8hxT.jpg
527774,Raya and the Last Dragon,2021-03-03,"Family, Fantasy, Animation, Action, Adventure","Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",/3emtmbHAp145frh3Pps1bZCCEHY.jpg,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg
729720,The Last Mercenary,2021-07-30,"Action, Comedy","A mysterious former secret service agent must urgently return to France when his estranged son  is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.",/fZ4hrFacm5yow9gT64rS6YMNyHz.jpg,/ttpKJ7XQxDZV252KNEHXtykYT41.jpg
529106,Major Grom: Plague Doctor,2021-04-01,"Action, Adventure","Igor Grom is a skilled policeman from St. Petersburg, known for his daring nature and uncompromising attitude towards the criminals of all kinds. Incredible strength, analytical mind and integrity – these qualities make Major Grom the perfect policeman. Working tirelessly, he always pushes through, and meets the challenges standing in the way.",/pVNXmfZvQKFdUKVYNJxZAiy69DC.jpg,/wnesEmcq7xdw1Rm1Bn6XEFTkenR.jpg
520763,A Quiet Place Part II,2021-05-21,"Science Fiction, Thriller, Horror","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",/z2UtGA1WggESspi6KOXeo66lvLx.jpg,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg
